#surfdensity	eff
141.24659729	0.00292179
355.39004517	0.00267559
690.56024170	0.00259796
880.55358887	0.00234325
752.66101074	0.00209580
408.63534546	0.00271749
163.05343628	0.00619469
131.79380798	0.00389300
129.20140076	0.00290530
160.05577087	0.00251348
526.76318359	0.00150562
729.89080811	0.00141062
731.43389893	0.00178801
660.56848145	0.00184888
459.21832275	0.00204113
285.45321655	0.00313996
117.42871094	0.00365769
150.73136902	0.00274583
704.35833740	0.00125090
1466.18139648	0.00077322
1336.09143066	0.00080497
773.62561035	0.00129897
402.43084717	0.00207909
311.32022095	0.00284054
237.09831238	0.00441088
135.08348083	0.00392600
159.28225708	0.00258947
384.03564453	0.00164288
1524.50354004	0.00080534
1917.15502930	0.00068188
1567.91210938	0.00080708
523.91217041	0.00183586
260.20086670	0.00301265
227.11029053	0.00368032
202.62252808	0.00220923
248.78727722	0.00185389
616.58728027	0.00127782
1417.73278809	0.00082077
1491.35021973	0.00085348
830.73638916	0.00156708
196.50968933	0.00338252
168.11705017	0.00343249
146.13114929	0.00406834
220.43286133	0.00258884
284.07177734	0.00184196
359.62884521	0.00176771
516.51080322	0.00162562
683.29376221	0.00151121
527.72229004	0.00234524
158.86363220	0.00487060
103.78038025	0.00404017
105.08121490	0.00366972
298.31066895	0.00213075
391.93823242	0.00200552
458.63684082	0.00219460
408.39871216	0.00267748
264.62786865	0.00387205
115.81967163	0.00648280
74.62023163	0.00537956
75.71794891	0.00404810
75.43257904	0.00481630
282.45428467	0.00330420
363.83398438	0.00257691
431.36175537	0.00282994
428.55038452	0.00318512
314.28927612	0.00372864
164.57888794	0.00461755
80.20292664	0.00492559
71.11687469	0.00417570
69.02954865	0.00446271
307.77334595	0.00387353
356.52780151	0.00369420
377.53292847	0.00386609
339.43655396	0.00376314
239.71157837	0.00353423
110.73789978	0.00365655
69.73945618	0.00392506
67.21813202	0.00436967
64.47075653	0.00613294
296.48318481	0.00529224
322.79977417	0.00454365
322.39410400	0.00403129
265.35784912	0.00350721
144.25234985	0.00341065
70.11013031	0.00402877
59.72726059	0.00476377
56.20845413	0.00640901
292.70950317	0.00624917
254.05447388	0.00529435
148.17202759	0.00565158
72.14775848	0.00686350
56.71082306	0.00786090
50.81621170	0.01838010
61.81431580	0.01994765
60.67386246	0.01410686
53.69480515	0.01825235
64.68341827	0.01530570
59.65866852	0.01560617
50.35846329	0.01922595
55.95959091	0.01907402
49.25864029	0.01972676
41.59893036	0.01947398
44.46802139	0.02288776
40.48482513	0.01986757
40.69112015	0.02418644
38.74848938	0.02095162
41.66786575	0.03049052
50.31962204	0.01698741
52.72822571	0.02619244
49.59444427	0.01054246
51.34477234	0.01350638
51.18355942	0.01920641
48.41123199	0.01305906
51.02864075	0.01189946
49.46174240	0.01365565
65.41145325	0.00901772
62.32584381	0.01913469
78.80681610	0.02419967
81.27843475	0.02272749
66.55475616	0.03150696
74.39670563	0.03074384
61.99781418	0.02355033
120.62602997	0.00627651
111.25723267	0.00612579
102.81656647	0.00501039
141.86048889	0.00302855
252.05155945	0.00180488
330.73315430	0.00112988
